comment	Top_Class	HateSpeech_Confidence	Ofensive_Language_Confidence	Neither_Confidence
trickg   live streaming league  legends	neither	0.04265647986313931	0.32927433613900714	0.6280691839978536
el truco pog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 love 	neither	0.03217296676969875	0.3657703709031763	0.602056662327125
fk  snake	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
ay	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
feelsbad   avatar   better hairline  	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkchamp	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
wake  pog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
hi	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
ay	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
wassup chat	neither	0.2055947685664873	0.14920899151307965	0.6451962399204331
pog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
never clicked  fast   lif	neither	0.03411383151538176	0.3851197773649268	0.5807663911196914
ek truco	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 dem boy	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
wassup  man thruc	neither	0.2876340027912113	0.16223774354041062	0.5501282536683781
first	neither	0.02604892428726219	0.3349864360510187	0.6389646396617191
poog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
ya know	offensive_language	0.020025654393719023	0.7116723097817351	0.26830203582454587
nope	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 back	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
   eny  eltruco	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
trkboomer trkboomer trkboomer trkboomer trkboom	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
ayy  el truc	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 dawg	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 ell trooloooooooo	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
mention good 	neither	0.038620047659747275	0.3306626502667844	0.6307173020734683
trkboomer trkboom	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
whats  ngga	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
